weight,source,target
1,Ben Affleck,Morgan Freeman
1,Bruce Willis,Richard Gere
1,Drew Barrymore,Julia Roberts
1,Charlize Theron,Matt Damon
2,Denzel Washington,Russell Crowe
1,Jake Gyllenhaal,Reese Witherspoon
1,Christian Bale,Russell Crowe
1,Robert Downey Jr.,Val Kilmer
2,Forest Whitaker,John Travolta
1,Harrison Ford,Tommy Lee Jones
1,Ben Stiller,Jennifer Aniston
1,Ben Stiller,Philip Seymour Hoffman
1,Jennifer Aniston,Philip Seymour Hoffman
2,Robert De Niro,Sean Penn
2,Jackie Chan,Owen Wilson
1,Nicolas Cage,Samuel L. Jackson
1,Brad Pitt,Julia Roberts
1,Anthony Hopkins,Gary Oldman
1,Christian Bale,Matthew McConaughey
1,George Clooney,Ice Cube
1,Ice Cube,Mark Wahlberg
1,Nicole Kidman,Sandra Bullock
1,Richard Gere,Sean Connery
1,Gary Oldman,Jeff Bridges
1,Julia Roberts,Philip Seymour Hoffman
2,Julia Roberts,Tom Hanks
1,Philip Seymour Hoffman,Tom Hanks
1,George Clooney,Nicole Kidman
1,Dustin Hoffman,Morgan Freeman
1,Catherine Keener,Paul Rudd
1,Catherine Keener,Steve Carell
3,Paul Rudd,Steve Carell
1,Hugh Jackman,Nicole Kidman
1,Charlize Theron,Susan Sarandon
1,Charlize Theron,Tommy Lee Jones
2,Susan Sarandon,Tommy Lee Jones
1,Ben Stiller,Drew Barrymore
1,Jennifer Lopez,Ralph Fiennes
1,Jake Gyllenhaal,Natalie Portman
1,Ben Stiller,Robert Downey Jr.
1,Drew Barrymore,Matt Damon
1,Dennis Quaid,Forest Whitaker
1,Bruce Willis,Steve Carell
1,Alec Baldwin,Jim Carrey
1,Mark Wahlberg,Susan Sarandon
1,Gene Hackman,Owen Wilson
1,Gene Hackman,John Travolta
1,Ben Affleck,Jennifer Lopez
1,Adam Sandler,Philip Seymour Hoffman
1,Christopher Plummer,Johnny Depp
1,Kate Winslet,Ralph Fiennes
1,Aaron Eckhart,Ben Kingsley
1,John Cusack,Jude Law
2,Samuel L. Jackson,Scarlett Johansson
1,Colin Farrell,Ralph Fiennes
2,Julianne Moore,Mark Ruffalo
1,Kevin Costner,Morgan Freeman
1,Eddie Murphy,Owen Wilson
1,Denzel Washington,Robert Duvall
1,John Goodman,Nicolas Cage
1,Harrison Ford,Liam Neeson
2,Paul Rudd,Will Ferrell
1,Julia Roberts,Mel Gibson
1,Alec Baldwin,Bruce Willis
1,Jennifer Lopez,Vince Vaughn
1,Cameron Diaz,Julia Roberts
1,Angelina Jolie,Morgan Freeman
1,Bruce Willis,Robert De Niro
1,Bruce Willis,Sean Penn
1,Ewan McGregor,Jim Carrey
1,Charlize Theron,Will Smith
1,Denzel Washington,Gene Hackman
1,Brad Pitt,Sean Penn
1,Mark Ruffalo,Reese Witherspoon
1,Al Pacino,Christopher Plummer
1,Al Pacino,Russell Crowe
1,Christopher Plummer,Russell Crowe
1,Colin Farrell,Samuel L. Jackson
1,Catherine Keener,Robin Williams
1,Anthony Hopkins,Antonio Banderas
1,Ice Cube,Jennifer Lopez
1,Al Pacino,Johnny Depp
1,Bruce Willis,Meryl Streep
5,Ben Stiller,Owen Wilson
1,John Travolta,Robert Duvall
1,Ben Stiller,Gene Hackman
1,Alec Baldwin,Anthony Hopkins
1,Ed Harris,Julia Roberts
1,Ed Harris,Susan Sarandon
1,Julia Roberts,Susan Sarandon
2,Ben Stiller,Vince Vaughn
1,Angelina Jolie,Denzel Washington
2,Angelina Jolie,Dustin Hoffman
1,Al Pacino,Alec Baldwin
1,Anthony Hopkins,Ralph Fiennes
1,Ben Kingsley,Jake Gyllenhaal
1,Dennis Quaid,Ed Harris
1,Al Pacino,Cameron Diaz
1,Al Pacino,Dennis Quaid
1,Cameron Diaz,Dennis Quaid
1,Adam Sandler,Ben Stiller
1,Aaron Eckhart,Ben Affleck
1,Kirsten Dunst,Susan Sarandon
2,Charlize Theron,Mark Wahlberg
1,Gwyneth Paltrow,Sigourney Weaver
1,Aaron Eckhart,Scarlett Johansson
1,Angelina Jolie,Nicolas Cage
1,Antonio Banderas,Julianne Moore
1,Antonio Banderas,Sylvester Stallone
1,Julianne Moore,Sylvester Stallone
1,Hugh Jackman,John Travolta
1,Jennifer Aniston,Vince Vaughn
1,Dustin Hoffman,John Travolta
1,Gary Oldman,Harrison Ford
1,Gene Hackman,Will Smith
1,Denzel Washington,Tom Hanks
1,Ed Harris,Nicolas Cage
1,Ed Harris,Sean Connery
1,Nicolas Cage,Sean Connery
1,Leonardo DiCaprio,Meryl Streep
1,Ralph Fiennes,Val Kilmer
1,Bruce Willis,Denzel Washington
2,Julia Roberts,Meryl Streep
1,Julia Roberts,Nicolas Cage
1,Ewan McGregor,Robin Williams
1,Denzel Washington,Julia Roberts
1,Jake Gyllenhaal,Jennifer Aniston
1,Drew Barrymore,Will Ferrell
1,Robert Duvall,Will Ferrell
1,Ice Cube,Jason Statham
1,Alec Baldwin,Cameron Diaz
2,Gwyneth Paltrow,Robert Downey Jr.
1,Dustin Hoffman,Samuel L. Jackson
1,Ben Affleck,Drew Barrymore
1,Ben Affleck,Jennifer Aniston
1,Drew Barrymore,Jennifer Aniston
1,Philip Seymour Hoffman,Robin Williams
1,Ewan McGregor,George Clooney
1,Ewan McGregor,Jeff Bridges
