movie_id,title,keyword
16508,Doug's 1st Movie,daydream
16508,Doug's 1st Movie,friendship
16508,Doug's 1st Movie,pollution
16508,Doug's 1st Movie,cartoon
16508,Doug's 1st Movie,number in title
16508,Doug's 1st Movie,kids and family
16508,Doug's 1st Movie,valentine
2895,The Apostle,christianity
2895,The Apostle,coma
2895,The Apostle,jealousy
2895,The Apostle,radio station
2895,The Apostle,texas
2895,The Apostle,apostle
2895,The Apostle,minister
2895,The Apostle,louisiana
2895,The Apostle,forgiveness
2895,The Apostle,independent film
2895,The Apostle,preacher
15660,Mommie Dearest,ax
15660,Mommie Dearest,biography
15660,Mommie Dearest,sociopath
15660,Mommie Dearest,lawyer
15660,Mommie Dearest,mansion
15660,Mommie Dearest,docudrama
15660,Mommie Dearest,perfection
15660,Mommie Dearest,adopted child
59968,Our Idiot Brother,brother sister relationship
59968,Our Idiot Brother,sister sister relationship
59968,Our Idiot Brother,family clan
59968,Our Idiot Brother,idealist
59968,Our Idiot Brother,duringcreditsstinger
323677,Race,olympic games
323677,Race,biography
323677,Race,sport
323677,Race,historical figure
323677,Race,nazi germany
323677,Race,racism
323677,Race,african american
323677,Race,track and field
19848,The Players Club,strip club
19848,The Players Club,stripper
19848,The Players Club,dominatrix
19848,The Players Club,cat fight
256274,"As Above, So Below",paris
256274,"As Above, So Below",treasure
256274,"As Above, So Below",catacombs
256274,"As Above, So Below",scientist
256274,"As Above, So Below",singing in a car
256274,"As Above, So Below",archaeologist
256274,"As Above, So Below",loss of friend
256274,"As Above, So Below",subjective camera
256274,"As Above, So Below",found footage
256274,"As Above, So Below",thick accent
256274,"As Above, So Below",female archeologist
256274,"As Above, So Below",burning car
256274,"As Above, So Below",philosopher's stone
256274,"As Above, So Below",french accent
256274,"As Above, So Below",rapping in a car
235271,Addicted,infidelity
235271,Addicted,obsession
235271,Addicted,lie
235271,Addicted,sin
235271,Addicted,interracial relationship
235271,Addicted,cheating wife
235271,Addicted,lust
235271,Addicted,attraction
235271,Addicted,deceit
235271,Addicted,temptation
235271,Addicted,hipersexualidad
235271,Addicted,faithful husband
45153,Eve's Bayou,sister sister relationship
45153,Eve's Bayou,menstruation
45153,Eve's Bayou,superstition
45153,Eve's Bayou,independent film
45153,Eve's Bayou,curse
45153,Eve's Bayou,mother daughter relationship
45153,Eve's Bayou,tavern
45153,Eve's Bayou,aunt niece relationship
45153,Eve's Bayou,father daughter relationship
45153,Eve's Bayou,all black cast
45153,Eve's Bayou,woman director
284293,Still Alice,mother
284293,Still Alice,professor
284293,Still Alice,illness
24973,The Egyptian,egypt
10283,Friday the 13th Part VIII: Jason Takes Manhattan,new york
10283,Friday the 13th Part VIII: Jason Takes Manhattan,boat
10283,Friday the 13th Part VIII: Jason Takes Manhattan,mask
10283,Friday the 13th Part VIII: Jason Takes Manhattan,psychopath
10283,Friday the 13th Part VIII: Jason Takes Manhattan,high school
10283,Friday the 13th Part VIII: Jason Takes Manhattan,sewerage
10283,Friday the 13th Part VIII: Jason Takes Manhattan,times square
10283,Friday the 13th Part VIII: Jason Takes Manhattan,serial killer
10283,Friday the 13th Part VIII: Jason Takes Manhattan,teenager
10283,Friday the 13th Part VIII: Jason Takes Manhattan,jason vorhees
8346,My Big Fat Greek Wedding,usa
8346,My Big Fat Greek Wedding,parents kids relationship
8346,My Big Fat Greek Wedding,greece
8346,My Big Fat Greek Wedding,culture clash
8346,My Big Fat Greek Wedding,midlife crisis
8346,My Big Fat Greek Wedding,restaurant
8346,My Big Fat Greek Wedding,bad mother-in-law
8346,My Big Fat Greek Wedding,mother-in-law
8346,My Big Fat Greek Wedding,parents-in-law
8346,My Big Fat Greek Wedding,son-in-law
8346,My Big Fat Greek Wedding,father-in-law
8346,My Big Fat Greek Wedding,patriarch
8346,My Big Fat Greek Wedding,bad father-in-law
8346,My Big Fat Greek Wedding,greek
8346,My Big Fat Greek Wedding,wedding
8346,My Big Fat Greek Wedding,family
8346,My Big Fat Greek Wedding,xenophobia
122081,Spring Breakers,female nudity
122081,Spring Breakers,sex
122081,Spring Breakers,florida
122081,Spring Breakers,drug dealer
122081,Spring Breakers,nudity
122081,Spring Breakers,female friendship
122081,Spring Breakers,party
122081,Spring Breakers,art house
122081,Spring Breakers,drug
122081,Spring Breakers,spring break
122081,Spring Breakers,young adult
10987,Halloween: The Curse of Michael Myers,mass murder
10987,Halloween: The Curse of Michael Myers,nudity
10987,Halloween: The Curse of Michael Myers,halloween
10987,Halloween: The Curse of Michael Myers,attempt to escape
10987,Halloween: The Curse of Michael Myers,cult
10987,Halloween: The Curse of Michael Myers,psychopath
10987,Halloween: The Curse of Michael Myers,escape agent
10987,Halloween: The Curse of Michael Myers,murder
10987,Halloween: The Curse of Michael Myers,escape
10987,Halloween: The Curse of Michael Myers,slasher
10987,Halloween: The Curse of Michael Myers,doctor
10987,Halloween: The Curse of Michael Myers,niece
10987,Halloween: The Curse of Michael Myers,death
10987,Halloween: The Curse of Michael Myers,evil
10987,Halloween: The Curse of Michael Myers,michael myers
10987,Halloween: The Curse of Michael Myers,psychiatric
10987,Halloween: The Curse of Michael Myers,murder hunt
10987,Halloween: The Curse of Michael Myers,halloween night
1391,Y Tu Mamá También,mexico
1391,Y Tu Mamá También,sex
1391,Y Tu Mamá También,beach
1391,Y Tu Mamá También,group sex
1391,Y Tu Mamá También,male friendship
1391,Y Tu Mamá También,road trip
1391,Y Tu Mamá También,coming of age
1391,Y Tu Mamá También,teenager
1391,Y Tu Mamá También,lgbt
1391,Y Tu Mamá También,new mexican cinema
747,Shaun of the Dead,record collection
747,Shaun of the Dead,flower
747,Shaun of the Dead,cheese
747,Shaun of the Dead,pub
747,Shaun of the Dead,surrey
747,Shaun of the Dead,romantic comedy
747,Shaun of the Dead,zombie
747,Shaun of the Dead,english
747,Shaun of the Dead,tv show in film
747,Shaun of the Dead,cricket bat
747,Shaun of the Dead,broken bottle
747,Shaun of the Dead,survival horror
747,Shaun of the Dead,british pub
747,Shaun of the Dead,english pub
747,Shaun of the Dead,you've got red on you
26748,Lone Star,sheriff
26748,Lone Star,family secrets
26748,Lone Star,neo-western
26748,Lone Star,dark secrets
11357,Halloween 4: The Return of Michael Myers,sheriff
11357,Halloween 4: The Return of Michael Myers,scissors
11357,Halloween 4: The Return of Michael Myers,ambulance
11357,Halloween 4: The Return of Michael Myers,halloween
